	Sport	Technology	Law	Economy	ESport
bốn	0	0	0	1	0
bóng	1	0	0	0	0
bóng đá	1	0	0	0	0
bột	0	1	0	0	0
box	0	0	0	0	1
bực	0	1	0	0	0
bùi	0	0	1	0	0
buộc	0	0.5	0.5	0	1
bước	1	0.5	0.5	0	1
buổi	0	1	0	0	0
buồn	0	1	1	0	0
buồng	0	0	1	0	0
cá	0	1	0	0	0
cả	0.8	0.6	0.4	0.8	1
cá nhân	1	0	0	0	0
các	0.4	1	0.3	0.73333335	0.43333334
cách	0	1	0	1	0.6666667
cách âm	0	1	0	0	0
cách thức	1	0	0	0	0
cái	0.22222222	0	0	0	1
cai ngục	0	0	0	0	1
cải thiện	0	1	0	0	0
cam	0	0	0	1	0
cấm	0	1	0	0	0
cầm	1	0	0	0	0
cảm	0	1	0	0	0
cầm chắc	1	0	0	0	0
cam kết	0	0	0	1	0
camera	0	1	0	0	0
can	0	0	1	0	0
càn	0	0	0	0	1
căn	0	0	0.6666667	1	0
cần	0.25	0.25	0.25	1	0.25
cản	1	0	0	0	0
căn cứ	0	0	1	0	0
căn hộ	0	0	0	1	0
cân nhắc	0	0	0	1	0
cần thiết	0	0	0	0	1
càng	1	0	0	0	0
căng thẳng	1	0	0	0	1
canh	0	0	0	0	1
cánh	1	0	0	0	0
cạnh	0	0.33333334	0	1	0.33333334
cảnh báo	0	1	0	0	0
cảnh sát	0	0	1	0	0
cạnh tranh	0	0	0	0	1
cao	0.3	0	0.1	1	0.2
cáo buộc	0	1	0	0	0
cao cấp	0	0	0	1	0
cấp	0	0	1	0.3	0
cập	1	0	0	0	1
cấp độ	0	0	0	0	1
cập nhật	0	1	0	0	0
cắt	0	0	1	0	0
cắt cổ	0	0	1	0	0
câu	1	0	1	0	0
cầu	0.5	0	0.5	1	0
câu lạc bộ	1	0	0	0	0
cầu thủ	1	0	0	0	0
cầu vượt	0	0	1	1	0
cây	0	0	0	1	0
cha	0	0	1	0	0
chắc	1	0	0	1	0
chắc chắn	0.5	0	0	0	1
chắc hẳn	0	0	0	0	1
chăm sóc	0	1	0	0	0
chạm trán	1	0	0	0	0
chân	1	0	0	0.5	1
chân lý	0	0	0	0	1
chàng	0	0	0	0	1
chẳng	0	0.33333334	0	0	1
chẳng hạn	0	0	0	0	1
chẳng thể	0	1	0	0	0
chào bán	0	0	0	1	0
chào đón	0	1	0	1	0
chấp nhận	0	0	1	0.33333334	0
chấp thuận	0	0	1	0	0
chat	0	1	0	0	0
chất	0.5	0	0	1	0
chặt	1	0	0	0	0
chặt chẽ	0	0	0	1	0
chất lượng	1	0	0	1	1
chật vật	0	0	0	0	1
cháu	0	0	1	0	0
châu	0.41666666	0	1	0	0
chạy đua	0	0	0	1	0
chế độ	0	0.16666667	0	0	1
chế phẩm	0	0	1	0	0
chế tạo	0	1	0	0	0
chênh lệch	0	0	0	0	1
chết	0	0	0	0	1
chi	0	0	0	1	0
chí	0	1	0	0	0
chỉ	0.3	0.4	0.6	1	1
chị	0	0	1	0	0
chỉ đạo	0	0	1	0	0
chi nhánh	0	0	1	0	0
chi phí	0	0.33333334	0.33333334	1	0
chi tiết	0	0	1	0	1
chi trả	0	0	1	0	0
chia	0	0	0	0	1
chìa	0	1	0	0	1
chia sẻ	1	0.5	1	0.5	0.5
chia tay	1	0	0	0	0
chiếc	0	1	0	0	0.4
chiếm	0	0	0	1	0
chiếm đoạt	0	0	1	0	0
chiến	1	0.5	0	0.5	0
chiến đấu	1	0	0	0	0
chiến lược	0	1	0	1	0
chiến thắng	1	0	0	0.09090909	0
chiến thuật	1	0	0	0	0
chiêu	0	0	0	0	1
chiếu	0	0	0	1	0
chính	0.33333334	0	0.33333334	1	0.8333333
chinh phục	1	0	0	1	0
chính sách	0	0	0	1	0
chỉnh sửa	0	1	0	0	0
chính thức	0	1	0	0	0
chính trị	0	1	0	0	0
chính xác	1	0	0	0	0
chip	0	1	0	0	0
cho	0.7894737	0.7368421	0.84210527	1	0.94736844
chờ	0	0	0	1	0
choáng ngợp	0	0	0	0	1
chơi	0.31578946	0	0.10526316	0.05263158	1
chọn	1	0	1	1	1
chồng	0	0	1	0	0
chốt	0	0	0	1	0
chợt	0	0	0	0	1
chủ	0	0.1	0	1	0.1
chứ	0	0	0.33333334	1	0
chủ động	0	0	1	0	1
chu kỳ	0	0	0	1	0
chủ sở hữu	0	0	1	0.5	0
chủ tịch	0	0	0	1	0
chú trọng	0	0	0	1	0
chưa	0.5	1	0.5	0.5	1
chứa	0	1	0	0	0
chứa đựng	0	0	0	1	0
chuẩn	1	0	1	0	1
chuẩn bị	0	0	0	0	1
chục	0	0.25	0	1	0
chức	1	1	1	0	1
chức năng	0	0	1	0	0
chức vụ	0	0	1	0	0
chung	0	0	0	1	1
chúng	0	1	0	0	0.33333334
chứng	0.33333334	0	1	0	0.6666667
chung cư	0	0	0	1	0
chứng cứ	0	0	1	0	0
chung cuộc	1	0	0	0	0
chung kết	0.16666667	0	0	0	1
chứng khoán	0	0	0	1	0
chứng kiến	0	0	0	0	1
chứng minh	1	0	0	0	0
chứng nhận	0	0	1	0	0
chừng như	0	0	0	0	1
chúng ta	0	1	0	1	0
chứng tỏ	1	0	0	0	0
chúng tôi	0	1	0	0	0
chuỗi	0.25	0	0	1	0.25
chuộng	0	1	0	0	0
chương trình	0	1	0	0	0
chuyên	0	0	1	1	0
chuyến	1	0	0	0	0
chuyền	1	0	0	0	0
chuyển	0.33333334	0.33333334	1	0.6666667	0
chuyện	0	1	0	0	0
chuyên dụng	0	0	0	0	1
chuyên môn	1	0	1	0	0
chuyên nghiệp	0	1	0	0	0
có	0.6666667	0.45833334	0.6666667	0.75	1
cố	0	0	1	0	0
cỗ	0	0	0	0	1
cổ	0	1	0	1	0
cờ	0	0	0	0	1
cơ chế	0	0	0	0	1
có của	0	0	0	1	0
cổ đông	0	0	0	1	0
cổ động viên	1	0	0	0	0
có giá	0	1	0	0	1
cơ hội	1	0	0	0.25	0
có lẽ	1	1	0	0	0
có mặt	1	0.5	0.5	0	0
có nghĩa	0	0	1	1	0
cổ phần	0	0.33333334	0	1	0
cổ phiếu	0	0	0	1	0
cơ quan	0	0	1	0	0
cơ sở	0.5	0	1	0.5	0
có thể	0.29411766	0.5882353	0	0.47058824	1
coi	0.33333334	0	0.6666667	0.6666667	1
con	1	0	0	0	0
còn	0.53846157	0.30769232	0.30769232	1	0.3846154
cơn	1	0	0	0	0
con người	0	1	0	0	0
công	0	0	1	0	0.5
cổng	0	0	1	0	0
cộng	0	1	1	0	0
công an	0	0	1	0	0
công bố	0	1	0	0.5	0
công cụ	0	1	0	0	0
cống hiến	1	0	0	0	0
công khai	0	1	0	0	0
công nghệ	0	1	0	0	0
công phá	1	0	0	0	0
công thức	0	0	0	1	0
công ty	0	0.5555556	1	0.5555556	0
công ty cổ phần	0	0	0	1	0
công ty mẹ	0	0	0	1	0
công văn	0	0	1	0	0
công việc	0	1	0	0	0
công viên	0	0	0	1	0
console	0	0	0	0	1
cốt	1	0	0	0	0
cú	0	0	0	0	1
cũ	0	0	0	0	1
cụ	0	0	1	0	0
cứ	0	0	1	0	0
cư dân	0	0	0	1	0
của	0.962963	0.8888889	0.7407407	1	0.5555556
cửa	1	0	0.5	0	0
cửa hàng	0	0	0	1	0
cục	0	0	1	0	1
cực	0	1	0	0	0
cực kì	0	0	0	0	1
cực kỳ	0	1	0	0	0
cụm	0	1	0	0	0
cung	0	0	0	0.8	1
cùng	1	0.33333334	0	0.5	0.33333334
cũng	0.2631579	0.42105263	0.2631579	0.68421054	1
cung cấp	0	0	0	0	1
củng cố	1	0	0	0	0
cuộc	1	0	1	0.5	0
cuộc chơi	0	0	0	1	0
cuộc sống	0	1	1	0	0
cuối	0.25	0.375	0	1	0.75
cười	0	0	0	0	1
cuối cùng	0	0.5	0	0	1
cuộn	0	1	0	0	0
cường	0	0	1	0	0
cuồng chiến	0	0	0	0	1
cuồng nhiệt	0	0	0	0	1
cúp	1	0	0	0	0
cứu	1	0	0	0	0
da	0	0	0	1	0
đa	0	0	0	1	0
đà	0	0	1	1	0
đã	0.53846157	0.7692308	0.7307692	0.61538464	1
đa dạng	0	0	0	1	0
đá tảng	1	0	0	0	0
đặc	0	0	1	0	0
đặc biệt	0	0	0.5	0	1
dài	1	0	1	1	0
đại	0	0	0	1	0
đại diện	0	0	1	0	0.5
đại gia	0	0	0	1	0
đại học	0	1	0	0	0
đám	0	1	0	0	0
đảm	0	0	0	1	0
đảm bảo	0	0	0.25	1	0
đàm phán	0	0	1	0	0
dân	0	0	0	1	0
dần	0	0	0	1	1
dẫn	0	0	0	1	0.25
dặn	0	0	1	0	0
đàn bà	0	0	1	0	0
dẫn chứng	0	0	0	1	0
dẫn dắt	0	0	0	1	0
dẫn đầu	0	0	0	1	1
đàn ông	0	0	1	0	0
dạng	0	1	0	1	0
đang	0.33333334	0.4	0.2	1	0.4
đáng	1	0.6666667	0	0	0.33333334
đăng	1	0	0	0	0
đẳng cấp	1	0	0	0.5	0
đăng ký	0	0	1	0	0
đăng quang	0	0	0	0	1
đăng tải	1	0	0	0	0
dành	0	0	1	0	0.5
đánh	0	0	0	0	1
đành	0	0	0	0	1
đánh bại	1	0.25	0	0	0
đánh dấu	0	0	0	1	0
danh dự	1	0	0	0	0
danh giá	1	0	0	0	0
đánh giá	1	0	0	1	0
danh hiệu	1	0	0	0	0
danh mục	0	0	0	1	0
danh sách	1	1	0	0	0
danh tiếng	0	1	0	0	0
đánh úp	0	0	0	0	1
dao	0	0	1	0	0
đảo	1	0	0	0	1
đạo	1	0	0	0	0
đạo diễn	0	0	1	0	0
đáp	1	0	0	0	0
đáp ứng	0	0	0	1	0
đất	0	0	0	1	0
đạt	0	0.33333334	0.33333334	1	0
đặt	0	1	0	0	0
đâu	0	0	0	0	1
đấu	0.8125	0	0	0	1
đầu	0	0.3	0	1	0.6
dấu ấn	1	0	0	1	0
đầu bảng	1	0	0	0	0.5
đầu cơ	0	0	0	1	0
dấu hiệu	0	1	0	0	0
đầu tiên	0.6666667	1	0	0	1
đấu trường	0.25	0	0	0.25	1
đầu tư	0	0	0.03125	1	0
đầu vào	0	1	0	1	0
dày	0	0	0	1	0
dậy	1	1	0	0	0
đây	0	0.6666667	0.33333334	1	0.33333334
đầy	0.33333334	0.16666667	0	0	1
đẩy	1	0	0.5	0.5	1
đầy đủ	0	0	0	1	1
dễ	1	0	1	0	0
để	0.5	0.71428573	0.9285714	1	0.9285714
dễ chịu	0	0	0	0	1
dễ dàng	0	0	0	1	1
đề nghị	0	0	1	0	0
đem	0	0	0	1	0.5
đen	0	0	1	0	0
đèn	0	0	0	0	1
đến	0.7692308	0.53846157	0.46153846	1	0.3846154
đèn lồng	0	0	0	0	1
dẻo	1	0	0	0	0
đeo	0	1	0	0	0
đẹp	0	0	1	0	0
đều	0	0.25	0.25	1	1
di	0	0	0	1	0
đi	1	0.11111111	0.22222222	0.44444445	0.5555556
di chuyển	0	0	0	0	1
di động	0	0.14285715	0	1	0
di sản	1	1	0	0	0
địa	0	0	0	1	0
địa chấn	1	0	0	0	0
địa phương	0	0	1	0.5	0
dịch	0	1	1	1	0
đích	0	0	0	0	1
địch	0	0	0	0	1
dịch vụ	0	0.6	0.6	0.4	1
điểm	1	0	0.33333334	0.33333334	0.33333334
diễn	0.14285715	0.14285715	1	0.14285715	0
diện	0	0.25	1	0	0.25
điển	0	0	0	1	0
điện	0	1	0	0.5	0
diễn biến	0	0	0	1	0
diễn đàn	0	1	0	0	0
điện máy	0	0	0	1	0
điện tử	0	1	0	0	0
diễn viên	0	0	1	0	0
diệt	0	1	0	0	0
điều	0.33333334	0.33333334	1	0.33333334	0.6666667
điều hoà	0	0	0	1	0
điều khoản	0	0	1	0	0
điều kiện	0	0.5	1	1	0
điều kiện đủ	0	0	1	0	0
điều tra	0	0	1	0	0
đình	1	0	0	1	0
đỉnh	0	0	0	0	1
định	1	0	0	1	0
đỉnh cao	1	0	0	0	0
đình chỉ	0	0	1	0	0
định dạng	0	1	0	0	0
dinh dưỡng	1	0	0	0	0
định kỳ	0	0	1	0	0
do	0	0.25	0.5	1	0.25
dở	0	0	0	0	1
đó	0.44444445	0.7777778	0.22222222	1	1
đồ	0	0	0	1	1
đỗ	0	0	0	1	0
đổ	0	0	0	1	0
độ	0.5	1	0	0.5	0.5
đoạn	0	0	0	1	0.5
doanh nghiệp	0	0.33333334	1	0.6666667	0
doanh số	0	1	0	0	0
doanh thu	0	0.2	0	1	0
đọc	0	1	0	0	0
độc	0	0	1	0	0
độc đáo	0	0	0	0	1
dời	0	1	0	0	0
đòi	0	0	1	0	0
đối	0	0	1	0	0
đồi	1	0	0	0	0
đỏi	0	0	0	1	0
đổi	0	1	0	0	0
đời	1	0	0	0	0
đội	1	0	0	0	0.22222222
đợi	0	0	0	1	1
đồi bại	0	0	1	0	0
đối đầu	1	0	0	0	0
đội hình	1	0	0	0	1
đối mặt	0.5	1	0	0	0
đối thủ	1	0	0	0.11111111	0.33333334
đối tượng	0	0	1	0	0
đội tuyển	0.45454547	0	0	0	1
đối với	0.25	0.25	1	1	0.25
dọn	0	0	1	0	0
đón	0.5	0	0	1	0
đòn	0	0	0	0	1
đơn	0	0	0.5	0	1
đơn cử	0	0	0	1	0
đơn giản	0	1	0	0	0
đơn vị	0	0	0.5	0	1
dòng	0	0.16666667	0	1	0.16666667
đong	1	0	0	0	0
đóng	0	1	0	0	1
đông	0.5	0	0	0	1
đồng	0.071428575	0	0.071428575	1	0.071428575
đọng	0	0	0	1	0
động	0	1	0	0	0
dõng dạc	1	0	0	0	0
đồng đội	1	0	0	0	0.75
đóng góp	1	0	0	0	0
đồng hành	1	0	0	0	0
động lực	1	0	0	0	0
đồng minh	0	0	0	0	1
đồng tiền	0	0	1	0	0
đồng vốn	0	0	0	1	0
đồng ý	0	0	1	0	0
đốt	0	0	1	0	0
đợt	0	0	0	1	0
đột phá	0	1	0	0.5	0
dù	0	0.5	0	0	1
dư	0	0	0	1	0
dụ	0	0	0	0	1
dự	0	0	0.33333334	1	0
đủ	0	1	0	1	1
dự án	0	0	0.1875	1	0
dự báo	0	0	0	1	0
dự đoán	1	0	0	0	0
du hành vũ trụ	0	1	0	0	0
du học	0	0	0	0	1
dự kiến	0	1	0	0	0
du lịch	0	0	0	1	0
dữ liệu	0	1	0	0	0
dư lượng	1	0	0	0	0
dựa	0	1	1	1	0
đua	0.25	0	0	1	0
đưa	0	0.5	1	0.5	0
đức	1	0	0	0	0
dùng	0	1	0.11111111	0	0.6666667
dừng	0.5	0	0	0.5	1
đúng	0.6666667	0	1	0.6666667	0.33333334
đụng	0	1	0	0	0
đứng	1	0.2	0	0	0.2
dụng cụ	0	0	1	0	0
được	0.53571427	1	0.4642857	0.85714287	0.60714287
dược phẩm	0	0	1	0	0
dưới	0	1	1	0.33333334	0
dưỡng	0	0	0	1	0
đương	0	0.5	0	1	0
đường	1	0	0	0	0.6666667
đường cao tốc	0	0	1	0	0
dưỡng chất	1	0	0	0	0
dứt	0	0	0	1	0
duy	1	0	0	0	0
duy nhất	0	0	0	1	0
duy trì	0	0	0	1	1
duyên	1	0	0	0	0
e ngại	1	0	0	0	0
euro	1	0	0	0	0
ga	0	0	0	1	0
gã	0	1	1	0	0
gái	0	0	1	0	0
gan	1	0	0	0	0
gần	0.75	0.25	0	1	0.25
gắng	1	0	0	0	0
gặng	0	0	1	0	0
găng tay	0	0	0	0	1
gánh	0	0	0	0	1
gấp	0	0	0	1	0
gập	0	1	0	0	0
gặp	1	0.25	0.25	0.5	0.25
gấp rút	0	0	0	1	0
gây	0	0.6666667	1	0.33333334	0
ghế	0	1	0	0	0
ghẻ lạnh	0	0	0	0	1
ghi	1	0.33333334	0	0.33333334	0
ghi bàn	1	0	0	0	0
ghi điểm	0	0	0	1	0
ghi nhận	0	0	0.25	1	0
gì	0.6	1	0	0	0.6
giá	0	0.5555556	0	1	0.22222222
giả	1	0	0	0	0
gia cố	0	1	0	0	0
gia đình	0	0	1	0.33333334	0
gia dụng	0	0	0	1	0
gia nhập	1	0.5	0	0	0
giá trị	0	1	0	0.6666667	0
giai	1	0	0	0	0
giải	1	0	0	0.5714286	0.71428573
giai đoạn	1	0.5	0	1	0.5
giải khát	0	0	0	1	0
giải pháp	0	0	0	1	0
giải quyết	0	1	0	1	0
giải thích	0	1	0	0.5	0
giải trí	0	0	0	1	0
giam	0	0	1	0	0
giảm	0	0.6666667	0	0.33333334	1
giám định	0	0	1	0	0
giám đốc	0	0.5	1	0	0
giám đốc điều hành	0	1	0	0	0
gian	0	0	0	1	0
giãn	0	0	0	0	1
giận dữ	0	1	0	0	0
gián tiếp	1	0	0	0	0
giành	1	0.125	0	0.125	0.375
giao	0	0	0	1	0
giáo	0	0	0	1	0
giao bóng	1	0	0	0	0
giao dịch	0	0	0	1	0
giao thông	0	0	0	1	0
giao tiếp	0	0	1	0	0
giáp	0	0	0	0	1
giàu	1	1	0	0	0
giày	1	0	0	0	0
giấy	0	0	1	0	0
giấy thông hành	0	0	0	1	0
giết	0	0	1	0	0.5
gió	0	0	0	1	0
giờ	0	0.5	0	1	0.5
giờ đây	0	1	0	0	0
giỏi	1	0	0	0	0
giới	0.5	0.5	0	1	0
giới thiệu	0	1	0	0	0
giống	0	0	0	0	1
giữ	0.14285715	0.2857143	0.5714286	1	0
giữa	1	0	0.6666667	0.33333334	0
giúp	1	0.375	0	0.25	0
gỗ	1	0	0	0	0
góc	0	1	0	0	0
gốc	0	0	0	1	0
góc độ	0	0	0	1	0
gốc rễ	0	0	0	1	0
gọi	0	0	1	1	1
gồm	0	1	0	0	0
gòn	0	0	0	1	0
góp mặt	0	0	0	0	1
góp phần	0	1	0	0	0
gục	0	0	0	0	1
gửi	0.33333334	0	0	1	0
hà	0.16666667	0	0.16666667	1	0
hạ	0	0	0	1	0.4
hai	0	0.33333334	0.6666667	0.16666667	1
hâm	1	0	0	0	0
hầm	0	1	0	1	0
hâm mộ	1	0	0	0	0.75
hẳn	0	0	0	0	1
hạn	0	0	0.5	1	0
hang	1	1	0	0	0
hàng	0.22222222	0.7777778	0.44444445	1	0.11111111
hãng	0	1	0	0	0
hàng đầu	0	0	0	0	1
hàng loạt	1	0	0	1	1
hạng mục	0	0	0	1	0
hành lang	1	0	0	0	0
hạnh phúc	1	0	1	0	0
hành trình	0	0	0	0	1
hành vi	0	0.11111111	1	0	0
hấp dẫn	0	0.5	0	1	1
hạt giống	0	1	0	0	0
hậu	1	0	0	0	0
hậu quả	0	0	1	0	0
hậu vệ	1	0	0	0	0
hay	0.6666667	0.33333334	0	0.16666667	1
hề	0.16666667	0	0	0	1
hệ	0	0	0	0	1
hệ điều hành	0	1	0	0	0
hệ thống	0.5	1	0	1	0
hẹn	0	1	0	0	0
hết	0	0	0	1	0
hi sinh	0	0	0	0	1
hiếm	0	0	0	1	0
hiện	0.2857143	0.42857143	0.2857143	1	0.14285715
hiện hành	0	0	1	0	0
hiện hữu	0	0	0	1	0
hiện nay	0	0.5	0	1	0
hiển nhiên	0	0	0	0	1
hiện tại	0.5	0	0	0.5	1
hiếp dâm	0	0	1	0	0
hiểu	0	1	0	1	1
hiểu biết	0	0	1	0	0
hiệu quả	0	0	0	1	0.33333334
hình	0	0	1	0	0
hình ảnh	1	0	0	0	0
hình sự	0	0	1	0	0
hình thành	0	0	0	1	0
hình thức	0	0	0	1	0
hồ	0	0	0	1	0
họ	0.125	1	0	0.125	0.875
hồ sơ	0	0	1	0	0
hỗ trợ	0	0.5	0	0.5	1
hoa	0	0	1	0	0
hoặc	0	0.25	0	1	0.25
hoài	0	0	1	0	0
hoàn	0	0	0	1	0
hoàn cảnh	0	0	1	0	0
hoàn thiện	0	0	0	1	0.5
hoàn toàn	1	1	1	1	1
hoàng	0	0	1	0	0
hoạt	0	0	0	0	1
hoạt động	0	0.1	0.1	1	0.2
học	1	0	1	0	0
hồi	1	0	0	0	0
hỏi	0	0	0.5	1	0
hội	0.25	0	1	0	0
hội nghị	0	0.5	0	1	0
hồi phục	0	0	0	0	1
hội ý	0	0	1	0	0
hôm	1	0	0	0	0
hôm nay	0	0	0	0	1
hôm qua	0	0	1	0	0
hòn	1	0	0	0	0
hơn	0.41666666	0.5	0.16666667	1	0.083333336
hơn nữa	1	0	0	0	0
hợp	0	0	0	1	0
hợp đồng	0	1	1	0	0
hợp lý	0	1	0	0	0
hợp nhất	0	0	0	1	0
hợp pháp	0	0	1	0	0
hợp tác	0	1	0	1	0
hợp thành	1	0	0	0	0
hormone	1	0	0	0	0
hotel	0	0	0	1	0
hứa hẹn	0	0	0	0.33333334	1
huấn luyện	1	0	0	0	0
hùng	0	0	1	0	0
hứng thú	0	1	0	0	0
hướng	1	0	1	0	0
hưởng	0	0	0	1	0.5
huy động	0	0	0	1	0
huyền	0	0	1	0	0
huyện	0	0	1	0.25	0
hy sinh	1	0	0	0	0
hy vọng	1	0	0	0	0
in	0	0	0	1	0
ít	0	0	0.5	1	0
ít nhất	1	0	0	0	0
ké	0	0	0	0	1
kẻ	1	0	0	0	1
kể	0	0	1	0	1
kế hoạch	0	1	0	0.5	0
kế thừa	0	1	0	0	0
kém	0	0	0	1	1
kèm	0	0	0	0	1
kém cạnh	1	0	0	0	0
kén	0	1	0	0	0
kênh	0	0	0	1	0
kéo	1	0	1	1	1
kết	0	1	0	1	0
kết hôn	0	0	1	0	0
kết hợp	1	0	0	0	0
kết liễu	0	0	0	0	1
kết luận	0	0	1	0	0
kết nối	0	0	0	1	0
kết quả	0.5	1	0	0	0
kết thúc	1	0.5	0	0.5	0
khá	0.25	0	0	0.25	1
kha khá	0	0	0	0	1
khả năng	1	0	0	0.6666667	1
khác	0	1	0	0.5	1
khắc	1	0	0	0	0
khác biệt	0	0	1	1	0
khắc phục	0	1	0	0	0
khách	0	0	1	0.5	0
khách hàng	0	0.2	0.4	1	0
khách sạn	0	0	0	1	0
khai	0	0	1	0	0
khai thác	0	0	0	1	0
khám xét	0	0	1	0	0
khan	0	0	0	1	0
khẩn cấp	0	0	1	0	0
khán giả	1	0	0	0	1
khẩn trương	0	0	1	0	0
kháng	0	0	1	0	0
kháng cáo	0	0	1	0	0
khẳng định	1	0	0	0.5	0
kháng sinh	1	0	0	0	0
khảo	0	1	0	0	0
khắp	0	1	0	0	1
khẩu độ	0	1	0	0	0
khép	0.5	0	0	0	1
khi	1	0.8333333	0.5555556	0.8333333	0.8888889
khí hậu	0	1	0	0	0
khi hồi	0	0	0	0	1
khiến	1	0.6666667	0	0.33333334	0.5
kho	0	1	0	0	0.33333334
khó	1	0	0	1	1
khó chịu	0	0	0	0	1
khó khăn	0	0	0	0	1
khoa	0	1	0	0	0
khoá	0	0	1	0	0
khoan	1	0	0	0	0
khoản	0	0	0.5	1	1
khoảng	0	1	0	0.75	0
khoảng cách	0	0	0	0	1
khói	0	0	1	0	0
khối	0	1	0	0	0
khỏi	0	0	1	0	0
khởi đầu	0	1	0	0	0
khởi điểm	0	1	0	0	1
khởi tố	0	0	1	0	0
khốn đốn	0	1	0	0	0
khôn khéo	0	0	0	0	1
không	0.85714287	0.47619048	0.6666667	0.8095238	1
khống	0	0	1	0	0
khống chế	0	0	0	0	1
không gian	0	0	0	1	0
không khí	1	0	0	0	0
khổng lồ	0	1	0	0	0.33333334
không thể	0.4	0.2	1	0.2	0.6
khu	0.5	0	0	1	0
khu vực	0.8	0	0	1	0.4
khúc	0	0	0	1	0
khung	1	0	0	0	0
khủng hoảng	0	0	0	1	0
khuôn viên	0	0	0	1	0
kích	0	0	0	0	1
kịch	0	0	0	0	1
kịch bản	0	0	1	0	0
kích hoạt	0	1	0	0	0
kích thước	0	1	0	0	0
kịch tính	1	0	0	0	0
kiêm	0	0	1	0	0
kiểm sát	0	0	1	0	0
kiểm soát	0	1	0	0	0
kiến tạo	1	0	0	0.33333334	0
kiều	1	0	0	0	0
kiểu	0	0	0	0	1
kim	1	0	0	0	0
kim cương	0	0	0	1	0
kính	0	1	0	0	0
kinh điển	1	0	0	0	0
kinh doanh	0	1	0.4	0.8	0
kinh khủng	0	0	0	0	1
kinh nghiệm	0	0	0	1	1
kinh phí	0	0	0	0	1
kíp	0	0	0	1	0
